id,restored_text
549,На линии огня
550,Пустые города
551,В которых никогда
552,Ты раньше не бывала
553,И рвутся поезда
554,На тонкие слова
555,Я сижу и смотрю в чужое небо из чужого окна
556,И невижу ни одной знакомой звезды.
557,"Я ходил по всем дорогами туда, и сюда,"
558,Обернулся- и не смог разгля деть следы.
559,"Но если есть в кармане пачка сигарет,"
560,Значит все не такуж плохо на сегод няшний день.
561,"И билет на самолет с сереб ристым крылом,"
562,"Что, взлетая, оставляет земле лишь тень."
563,"И никто не хотел быть виноватым без вина,"
564,"И никто не хотел руками жар загребать,"
565,"Абез музыки на миру смерть некрасна,"
566,А без музыки не хочется пропадать.
567,"Призрачно все в этом мире бушующем,"
568,Есть только миг- за него и держись.
569,"Есть только миг между прошлым и будущим, -"
570,Именно он называ ется жизнь.
571,"Вечный покой сердце вряд ли обрадует,"
572,Вечный покой- для седых пирамид.
573,"А для звезды, что сорвалась и падает"
574,"Есть только миг, ослепи тельный миг."
575,"Пусть этот мир вдаль летит сквозь столетия,"
576,"Но не всегда по дороге мне сним,"
577,"Чем дорожу, чем рискую на светея?"
578,"Мигом одним, только мигом одним."
579,Счастье дано повстр ечать ильбед уеще
580,Есть только миг- за него и держись!
581,Волки уходят в небеса.
582,Горят холодные глаза.
583,Приказа верить в чудеса
584,Не поступало.
585,"И каждый день другая цель,"
586,"То стены гор, того рыстен"
587,И ждёт отчаянных гостей
588,Чужая стая.
589,"Спиной,"
590,К ветру и всё же
591,Вырваться может
592,Чья- то душа.
593,"Спасёт,"
594,Но не поможет
595,"Чувствую кожей,"
596,Пропащая.
597,"Не помнят слов, не видят снов"
598,Переросли своих отцов.
599,"И, кажется, рука бойцов"
600,Колоть устала.
601,Позори слава в их крови
602,Хватает смерти и любви
603,Но сколько волкане корми
604,Ему всемало.
605,"Волки уходят,"
606,Волки уходят. . .
607,"Всё из чего мои сомнения сотканы, тонко."
608,"Какой чудесный день, моя струится лень"
609,На грани просве тления
610,Сияет шамбала и нежится душа
611,В нирване воскр есения.
612,"О, как легкомо и воспом инания выцвели"
613,Кто я такой и почему сбиваются мысли.
614,"Верхом на звезде,"
615,"Вцеп ившись влучи,"
616,С луной на поводке
617,В ночи
618,Верхом на звезде
619,"Несусь навстречу ветрам,"
620,К нес бывшейся мечте
621,И с нам
622,"О, жизнь, ты прекрасна,"
623,"О, жизнь, ты прекрасна вполне."
624,Бываешь немного опасна. О- е.
625,"Возьми мое сердце,"
626,"Храни, вспоминай обо мне,"
627,"Поверь мне, что все ненап расно."
628,"Над лесом, рекой,"
629,Потерян навсегда
630,Покой.
631,Верхом на звезде.
632,Mito rnodia boloesta.
633,Билет в один конец—
634,Весна
635,И создал этот мир
636,Я сам
637,Верь мне…
638,Я маленькая лошадка
639,И мне живётся несладко
640,Мнетрудно нести мою ношу
641,"Настанет день, и я её брошу"
642,Нос тою очень много денег
643,И явезу свою большую повозку
644,С тогона этот берег
645,"Мне хочется плакать, мне хочется смеяться"
646,"Мне хочется прыгать, валяться и брыкаться"
647,"Чтобы были друзья или, хотя бы один"
648,"Но я работаю, как вол, в моей тележке кокаин"
649,"Я умру очень рано, и я знаю об этом"
650,"Может быть невесной, может быть ранним летом"
651,"Я люблю слушать песни, и ко страню хатьдым"
652,"Но нельзям не отвле каться, явезу кокаин"
653,"Я устала ужасно, я хочу отдохнуть"
654,Съесть мешков десять сена и надолго уснуть
655,Я хочу к перел ётным птицам вкли ниться в клин
656,"Но работа важней, за спиной кокаин"
657,"Мне противно и трудно, но нельзя отступить"
658,"Хоть ихочется есть, хоть и хочется пить"
659,Мы когда- нибудь за это вадском пламени с горим
660,"Но всё это потом, а в данный момент кокаин"
661,"Мнеобидно, и капают слёзы"
662,Когда мне под ногики дают розы
663,Когда люди на улицах и вокнах квартир
664,Меня встречают и устраи вают пирна весь мир
665,Мнерады даже малые дети
666,Мне машут даже деревьев ветви
667,"Меня привет ствуют все, все, как один"
668,Я привезла им новый мир
669,Я привезла кокаин
670,Впилась за нозой в сердце моестрела Купидона
671,Хочется вытащить и никогда не думать об этом
672,Боль нестер пима и мне до сих пор была незнакома
673,Солнце безжа лостно выжглогла за своим ярким светом
674,"Одна она повсюду, где бы не скрылся я"
675,Во всех глазах и лицах только одна она
676,"Больше нет места, где бы я мог зализы вать раны"
677,Крылья разбиты и тело мое во власти гангрены
678,"Сил больше нет, нет сна, лишь страх постоя нный"
679,Лишь голоствой в моей голове и белые стены
680,Лишь одна она
681,Впилось за нозой в сердце моестрела Купидона
682,Злобный уродец никак не оставит в покое
683,"Пусть будет больно, силы найду и выдерну с корнем"
684,"Новая жизнь. Нужно понять, что это такое"
685,Лишь она
686,Жизнь иногда выпускает жало
687,"Стирая прошлое, словн овирус"
688,И к хоккеи стужена сбежала
689,И на работе полнеший минус
690,Но наш герой– не сдаётся
691,"Слезы утри,"
692,По жизни и дёти смеётся
693,"Вот он, смотри"
694,Он самый счас тливый из нас
695,Избранный небесами
696,Он Вам– нестарый баркас
697,Афрегат с парусами
698,В чём же причина тогда?
699,Три обычные строчки
700,Ждут его дома всегда
701,Его папины дочки
702,Он помогает добрым советом
703,И мудрым словом он лечит души
704,"На все вопросы, он знает ответы"
705,"Всегда подскажет, как сделать лучше"
706,А что его ждёт впереди?
707,Там всё не так гладко
708,Но всё же он победит
709,Парень– загадка
710,Поминутам осыпается
711,Ожидание невозм ожного
712,Ранним утром просы пается
713,От движения неосто рожного.
714,Как молчание ледяной зимы
715,"На с заку талоне извест ностью,"
716,"Здесь так долго друг друга искалимы,"
717,"И, конечно, пропали без вести"
718,Простится
719,"Нет усил, закрываю,"
720,"Я глаза закрываю,"
721,Сквозь туман уплываю
722,По аллеям столицы
723,За потерей потеря
724,И года полетели
725,За дождями метели
726,Пере летные птицы
727,Только ночью не могу уснуть
728,Странный холод в сердце прячется
729,Что случилось? – скажи темнекто- нибудь
730,Только осень во кномне распл ачется
731,В подок онник мой бьются горошины
732,"Тишину, разбивая весельем,"
733,Умирали давно понемн ожкумы
734,"И, наверное, было спасение"
735,Время смотрит с покойно с през рением
736,Вы меня уже верно невсп омните
737,Опоз давшее ходит прозрение
738,По моей гладко выбритой комнате
739,Недос казано и недосл ушенно
740,Сердце бьется другими вершинами
741,"Значит все безна дежно разрушено,"
742,"Ну зачем же, зачем поспешили мы"
743,"Помню, помнюя как мы встре тились с тобою"
744,"Был конец дня, ты спросила у меня сигар еточку"
745,"Я подумал, что зафигня"
746,"Сигаретка осталась всего одна, нула днона. . ."
747,Мы прожили пятн адцать лет
748,Но вот теперь ты ушла тебя нет.
749,Но ты ушла в своем оранжевом плаще
750,"Нуты даешь вообще, нуты даешь вообще блин!"
751,Но ты ушла и не сказала: я скоро вернусь
752,"Чёжеты делаешь Люсь, как- жеябуду один"
753,"Помню, помнюя как по улице весенний,"
754,"Я с тобой гулял, мы купили банку пива и двух лещей"
755,"Ты была молода- красива,"
756,И похожа на апельсина в своем новом плаще
757,"И я любил тебя как свою, вот и теперь о тебе япою!"
758,"Помню, помню, как ядарил тебе, что попросишь"
759,"Но какой же дуракя был, если- бзнал, чтоты меня бросишь"
760,"Сэкон омилбы, и я любил тебя обожал"
761,"Нуатым не вспинук инжал, охнесл адкомне"
762,"Я пригрел на груди змею, вот и теперь о тебе япою!"
763,"Я смотрю на тебя,"
764,"В телеви зореты, ая на диване."
765,"В городе N дожди,"
766,Замыкание + бах! и встали трамваи
767,Травма черепно- мозговая моя любовь!
768,"По- по- по наконаплю, и к тебе доплыву, долечу, доеду"
769,"Рядом с тобой поселюсь, ты будешь радата кому соседу!"
770,"Мы из России народ простой, я те сразу скажу Здорово!"
771,"Аты улыбн ёшься искажешь мнеЯ так ждала тебя, Вова!"
772,"Я так жда ла тебя, Вова!"
773,"В телеви зореты, ая на диване"
774,"В городе Nзима,"
775,Скоро выходы все и входы завалит
776,"Нуя придубез крика, без шума,"
777,"Нунайду какой- нибудь повод,"
778,"СкажуНу здра вствуй, Ума,"
779,"Она скажет Ну здра вствуй, Вова."
780,Нунадо как- то отношения завязы вать
781,Я скажуНу как тытут вообще жива здорова- то?
782,"Она скажет: ' А, вообще, Володька, хреново! '"
783,И начнёт расска зывать.
784,"Вот, - скажет, - вчера, к примеру, приходил Тарнтино"
785,"Нажрался, говорит, и стал прис тавать комне, здоро венная детина."
786,Я тогда ему так строго сказал аКвентин!
787,"Может, тыконечно, говорит, и не заметил,"
788,"Но вообще- тояжду Володьку из России,"
789,"А тебя, говорит, вообще заходить не просили"
790,"Вот такая батва, прикинь?"
791,Бывает недосмеха
792,"В общем, было трудно без тебя, Вован."
793,"Хорошо, что приехал"
794,"Жил- был на свете Антон Городе цкий,"
795,"Бросила жена, он грустил непо- детски."
796,Пришёл к колдунье: ' Ану- кана колдуй мне! '
797,"' Легко, мой хороший, только хлопну в ладоши,"
798,"И жена вернётся, от того отвер нётся,"
799,И маленькая жизнь внутри неё оборвётся. '
800,Но вдруг налетели на ведь мутени
801,"Прив идений, говорят: ' Не бывать престу пленью'"
802,"Ну что жеты, что ты потупила взор?"
803,"Сдавайся, ведьма– «Ночной Дозор»."
804,"И треснул мир на пополам, дымит разлом,"
805,"Ильётся кровь, идёт война добра со злом."
806,"И меркнет свет, в углах паук плетёт узор,"
807,По тёмным улицам летит «ночной дозор».
808,"И понял Антоха, что поступил плохо,"
809,"Ито, что развела его колдунья, как лоха."
810,"Носила «иного» в антоновом взоре,"
811,"А значит, он будет работать в «дозоре»."
812,"Годы прошли, Горо децкий нетужит,"
813,"Водочку глушит, с вампирами дружит."
814,Начальник хороший– мудрейший Гесер
815,Был зам. министром inUSSR.
816,"Новот вызывают, нужно ехать скорее,"
817,Вампир- пари кмахер с подружкой своею
818,"Влоговок себе заманили подростка,"
819,Решили поужинать подлои просто.
820,"Антоха успел, завя залась драка,"
821,"С огромным трудом, но всё жубил в урдалака,"
822,"Ножницами был тяжело ранен в бою,"
823,"При смерти был, можно сказать на краю."
824,"Но добрый Гесер его вылечил быстро,"
825,"Еще бы, а бы кого не берут взамми нистры."
826,"А дальше- беда за бедой, как понотам:"
827,"Ворона залетела в турбину самолёта,"
828,"На тепло центра личего- то взорва лось,"
829,"А Света виновна во всём оказалась,"
830,"Но, встретив красавца Антона, влюбилась,"
831,И разру шение остано вилось.
832,Но злой Завулон из «дозора дневного»
833,Сделал из сына Антона «иного».
834,И как с этим справится нашгерой?
835,Все на просмотр картины второй!
836,"В газетах писали, что ты уезжаешь,"
837,"Что рейс не отменят, что рейс не отложат."
838,"Какие- толюди тебя окружают,"
839,"А ближе, чем были- уже невоз можно."
840,"В красивых журналах считают пунктиры,"
841,Ая- до квартиры вечернее сальто.
842,"И кривятся губы, и кофе противен,"
843,"И новое утро, и новое' нет тебя. . . '"
844,Я по асфальту шагаю
845,"С тем, кого сберечь не смогу."
846,"До остановки трамвая,"
847,Звенящего на бегу.
848,"В газетах писали, чтоты- идиотка,"
849,Во всём виновата проклятая водка.
850,"Ругаешься матом, и песен не пишешь,"
851,"Тебя окружают нелюди, амыши."
852,Такое не выдумать даже нарошно.
853,"Ая каждый вечер ползу докв артиры,"
854,"И ближе, чем были- уже невоз можно."
855,"Изму ченный дорогой, я выбился из сил."
856,И в доме лесникая ночлега попросил.
857,С улыбкой добро душной старик меня впустил.
858,И жестом друже любным наужин пригласил.
859,"Будь как дома, путник, я ни в чём не откажу,"
860,"Я ни в чем не откажу, я ни в чём не откажу!"
861,"Множество историй, коль желаешь, расскажу,"
862,"Коль желаешь, расскажу,"
863,"Коль желаешь, расскажу!"
864,"На улице темнело, сиделя за столом."
865,"Лесник сидел напротив, болтало том, осём."
866,"Что нет среди животных у старика врагов,"
867,Что нравится ему подкарм ливать волков.
868,И волки среди ночи завыли под окном.
869,Старик заулы бался и вдруг покинул дом.
870,Но вскоре возвр атился с ружьём наперевес:
871,"' Друзья хотят покушать, пойдём, приятель, в лес! '"
872,Яшёл к себе домой
873,Я шёл помокрым лужам
874,Поско льзкой мостовой
875,Ногами снегутю жил
876,А мокрый снег падал
877,Ая шёл домой
878,По зимнем усаду
879,Попустой мостовой
880,Он шёл сомной рядом
881,Шпионил за мной
882,Следил за мной взглядом
883,Бесшумный конвой
884,И вотястою
885,На краю снего пада
886,Снеба падает снег
887,Значит небутак надо
888,В это трудно поверить
889,Я вернулся домой
890,Ты открылам недвери
891,Снег вошёл вслед за мной
892,И вдруг снег растаял
893,Увидел тебя
894,На пороге остались
895,Только капли дождя
896,Нас уносит река
897,Плавных вёсел волнами
898,Словно кто- то открыл
899,Все небесные краны
900,Мы стоим на краю
901,На краю водопада
902,С небал ьётся вода
903,За морями есть лимоновый сад
904,Янайду лимон и будурад
905,Но тебенедам не смей меня винить
906,По смотрите до чего он хорош
907,Но на дороге ты его не найдешь
908,Попробуй сделай сам не будуя тебя учить
909,Растут лимоны на высоких горах
910,На крутых берегах для крутых
911,Коро четыне достанешь
912,Явижу целья залимоном дотян уться хочу
913,Я залимоном лечуи крутизной насла ждаюсь
914,Страна Лимония страна без забот
915,В страну Лимонию ведет подземный ход
916,Найти по пробуй сам не будуя тебя учить
917,Труд на дорога и повсюду обман
918,Ночтоб не сбиться у меня есть план
919,Но я тебе недам не смей меня винить
920,Страну Лимонию ищус давних пор
921,Мне надоел вечноз еленый помидор
922,Его ты кушайсам не смей его со мной делить
923,Не смей его со мной делить
924,"Выйду на улицу- солнца нема,"
925,Парни молодые свели меня сума.
926,"Выйду на улицу, гляну насело, -"
927,"Девки гуляют, им не весело."
928,"Матушка родная, водицы мнедай,"
929,Сердце мое такики дает в жар.
930,"Раньше ягуляла в зеленом саду,"
931,Думала на улицу век не пойду.
932,А теперь под вечера жпятки горят-
933,Но женьки резвыев пляску хотят.
934,"Я пойду на улицу, к девкам пойду,"
935,Голосом звонким яим подпою.
936,"Матушка, слышишь, соловушек поет,"
937,"Атам, подгорою, пляска идет-"
938,"Девки голо систые звонко поют,"
939,Мнеда молод енькой спать не дают.
940,"Теплое место, но улицы ждут"
941,Отпе чатков наших ног.
942,Звездная пыль- на сапогах.
943,"Мягкое кресло, клетчатый плед,"
944,Ненажатый во время курок.
945,Солнечный день- вослеп ительных снах.
946,"Группа крови- на рукаве,"
947,"Мой поряд ковый номер- на рукаве,"
948,"Пожелай мнеудачи в бою, пожелай мне:"
949,"Не остаться в этой траве,"
950,Не остаться в этой траве.
951,"Пожелай мнеудачи, пожелай мнеудачи!"
952,"И есть чем платить, но я нехочу"
953,Победы любой ценой.
954,Я никому не хочу ставить ногу на грудь.
955,"Я хотел бы остаться с тобой,"
956,"Просто остаться с тобой,"
957,Но высокая в небе звезда зовет меня в путь.
958,"Ночь коротка, цель далека,"
959,"Ночью так часто хочется пить,"
960,"Тывы ходишь на кухню,"
961,"Новода здесь горька,"
962,"Ты не можешь здесь спать,"
963,Ты не хочешь здесь жить.
964,"Доброе утро, последний герой!"
965,"Доброе утро тебе и таким, как ты,"
966,"Доброе утро, последний герой."
967,"Здра вствуй, последний герой!"
968,"Ты хотел быть один, это быстро прошло,"
969,"Ты хотел быть один, но не смог быть один,"
970,"Твояно ша легка, но немеет рука,"
971,Иты встре чаешь рассвет за игрой в дурака.
972,"Утром тыстре мишься скорее уйти,"
973,"Теле фонный звонок, как команда' Вперед! '"
974,"Ты уходишь туда, куда не хочешь идти,"
975,"Ты уходишь туда, но тебя там никто не ждет!"
976,Яиду по улице в зеленом пиджаке.
977,Мне нравятся моиб отинки.
978,А еще красивый галстуку меня.
979,"Я гладил брюки два часа,"
980,В парикма херской сидел с утра.
981,"И вотидуя по улице, один я."
982,По улице идуя.
983,По улице один.
984,У моего приятеля есть новые пластинки.
985,И я зайду в кафе и выпью чашку кофе.
986,А потом пойду к нему.
987,И в зеркалах витриня так похож на БодиХоли.
988,Папа скородаст свою машину пока таться мне.
989,Идуя.
990,По улице одиня.
991,Идуя по улице один.
992,Весна- пост оянный насморк.
993,Весна- солнце свети топять.
994,И я промочил ноги.
995,Весна- ия опять и дугулять.
996,Весна- я не могу усидеть дома.
997,Весна- я люблю весну.
998,О чем поют в моем дворе кошки?
999,"Нет- нет- нет- нет,"
1000,Я неусну.
1001,Весна- я уже не греюпио.
1002,Весна- скоро вырастет трава.
1003,"Весна- выпосм отрите, как красиво."
1004,Весна- где моя голова?
